order_id,courier_id,customer_id,order_date,status,order_value
9867,5809,104794,2024-05-04,Delivered,35.44
51843,7048,145869,2023-12-25,Delivered,27.28
28636,5374,159348,2023-09-19,Unassigned,39.44
34383,6891,174928,2024-04-27,Delivered,44.0
14841,5158,104682,2023-12-11,Delivered,26.23
59670,5701,164674,2023-12-09,Delivered,28.34
42990,6934,176646,2024-02-19,Delivered,20.94
6862,6714,111671,2023-10-14,Delivered,43.32
51639,6251,141073,2024-04-10,Delivered,34.74
7588,5856,162507,2024-03-19,Delivered,47.24
4217,6605,173818,2024-04-14,Delivered,53.01
5480,7072,130423,2023-12-06,Delivered,41.45
45882,6162,158148,2024-06-01,Delivered,27.39
21926,5784,103185,2024-01-14,Delivered,14.47
12478,5874,157383,2024-04-06,Delivered,53.63
31517,5143,126392,2023-07-25,Delivered,33.28
29348,6096,173359,2024-04-16,Cancelled by customer,26.41
54279,5479,133167,2024-03-15,Delivered,13.97
17887,6514,176231,2023-08-19,Delivered,38.78
55891,5604,112379,2023-09-23,Delivered,73.22
61607,6925,136703,2023-10-01,Delivered,17.82
15445,5511,159766,2024-02-03,Delivered,21.38
18306,5460,109824,2024-01-03,Delivered,12.45
67845,5275,148157,2023-12-16,Delivered,47.14
48530,7377,118961,2024-03-29,Cancelled by customer,47.99
15920,6986,141887,2023-06-11,Delivered,28.62
10525,5361,157455,2024-04-03,Delivered,26.42
12668,5125,136891,2023-11-04,Delivered,24.53
2031,6665,155636,2024-03-17,Delivered,24.8
37466,7358,117915,2024-01-26,Delivered,27.89
31283,6143,178309,2024-05-30,Delivered,9.03
39193,7216,127624,2024-01-12,Delivered,37.6
36115,7389,124864,2024-05-15,Cancelled by customer,25.2
55270,7277,133899,2023-06-08,Delivered,42.42
52900,7095,149634,2024-04-05,Delivered,27.0
2208,6080,135649,2023-07-21,Delivered,66.02
7164,5182,174293,2023-09-04,Delivered,36.05
24349,6991,110802,2023-06-07,Delivered,28.68
60756,6208,155672,2024-05-16,Cancelled by customer,41.94
65443,5577,148272,2023-09-13,Delivered,36.04
68795,7197,111565,2023-08-15,Delivered,36.4
55016,7300,160653,2024-03-08,Unassigned,20.82
55496,6415,171872,2024-04-04,Cancelled by customer,24.63
19077,6543,126717,2023-08-09,Delivered,22.47
4935,5455,173994,2023-09-09,Delivered,29.42
32714,7246,154103,2023-11-22,Delivered,35.19
8397,7061,121207,2023-10-11,Delivered,62.6
57862,7073,154052,2024-02-24,Delivered,23.0
47383,5050,146938,2023-11-29,Delivered,24.97
33714,6047,165732,2023-10-09,Delivered,16.08
49335,7064,153130,2024-03-14,Cancelled by customer,51.25
49042,7404,174057,2023-10-24,Delivered,49.59
9733,6035,143353,2023-09-30,Delivered,26.41
16133,5292,101999,2024-05-01,Delivered,19.43
48508,7014,100379,2023-09-05,Delivered,53.27
20002,7298,135306,2024-03-16,Delivered,20.74
5056,7186,165406,2023-10-28,Delivered,30.85
521,6213,121017,2023-09-19,Unassigned,42.57
15875,6954,156796,2024-05-13,Unassigned,42.17
6801,5633,146902,2023-11-17,Delivered,50.18
8363,5745,126510,2024-03-26,Delivered,32.54
69101,5432,160557,2024-03-11,Delivered,21.43
29838,5126,109671,2023-09-26,Delivered,27.16
32680,7302,144049,2023-12-27,Delivered,10.65
48062,6410,134728,2024-03-06,Delivered,5.99
17335,6532,110037,2024-01-29,Delivered,25.88
15386,5607,178492,2023-06-25,Delivered,21.76
4685,7061,107690,2024-02-17,Delivered,51.09
26347,6375,107698,2023-12-17,Cancelled by customer,33.2
31233,7229,148517,2023-08-16,Delivered,18.71
43830,7476,132162,2024-02-25,Delivered,52.2
42640,6483,110609,2023-10-08,Delivered,40.53
20513,7449,160870,2024-03-20,Delivered,22.52
22527,5877,110663,2023-11-16,Unassigned,29.44
53540,5082,138998,2023-09-17,Delivered,40.3
17013,5821,145387,2023-11-18,Cancelled by customer,22.69
60271,6477,100996,2023-08-19,Delivered,16.66
18352,5878,140152,2024-04-19,Delivered,27.67
38266,6806,139348,2023-11-06,Delivered,40.44
23599,7394,137542,2023-11-14,Delivered,56.34
14839,5098,144233,2024-05-09,Delivered,29.63
20853,5037,164426,2024-03-19,Delivered,55.78
66799,6134,110661,2024-04-14,Delivered,59.81
31595,7424,141226,2023-08-22,Delivered,20.31
66098,6024,140282,2024-01-05,Delivered,25.98
59211,5132,117496,2023-11-03,Delivered,39.72
8187,6344,174295,2024-04-20,Delivered,15.77
17081,6718,154982,2024-05-03,Delivered,45.32
36622,6636,164002,2023-06-15,Delivered,58.19
4515,6774,157657,2024-01-15,Delivered,27.4
16448,6396,136722,2023-06-13,Unassigned,31.28
10913,6947,110971,2024-01-14,Delivered,18.98
49853,7374,101312,2023-10-11,Delivered,10.27
34598,6581,103007,2024-03-26,Delivered,52.65
64750,6023,100298,2024-01-17,Cancelled by customer,8.15
32647,5800,165668,2024-02-06,Cancelled by customer,41.57
