order_id,courier_id,customer_id,order_date,status,order_value
2759,5259,135638,2023-12-14,Delivered,8.67
37135,7432,138750,2023-12-23,Delivered,35.69
29159,5401,146683,2023-08-07,Unassigned,33.45
5366,7302,114887,2024-03-18,Delivered,11.18
52943,7114,132220,2023-09-10,Delivered,29.47
58514,6064,133994,2023-09-13,Delivered,19.36
53415,5709,168792,2024-03-08,Delivered,12.06
2617,6834,119061,2023-09-02,Delivered,27.36
15340,5620,107415,2023-06-03,Delivered,22.95
12888,7247,109253,2023-10-21,Delivered,33.79
68583,6487,174101,2023-10-22,Delivered,12.18
43035,5000,132805,2023-06-30,Delivered,36.35
7429,5558,149444,2024-03-04,Delivered,33.55
61150,6444,120995,2023-06-22,Delivered,25.85
15775,6756,144278,2023-06-18,Delivered,14.78
48575,6492,174190,2024-05-04,Delivered,27.93
28413,6203,117958,2024-04-28,Delivered,17.63
50637,6911,146644,2023-10-17,Delivered,30.41
22163,5500,174916,2023-10-19,Delivered,33.83
52806,6869,124136,2023-12-16,Delivered,8.99
19470,5064,106773,2023-11-18,Delivered,22.07
25543,6388,121439,2023-09-15,Delivered,21.96
52033,5542,160957,2023-11-28,Delivered,23.81
30798,5749,122780,2023-07-06,Delivered,17.77
38924,5986,164779,2023-07-03,Delivered,26.18
69843,7378,111281,2023-08-24,Cancelled by customer,57.37
6490,5807,145659,2024-03-13,Delivered,37.04
46089,7027,135671,2023-09-17,Delivered,45.76
8338,6983,115302,2024-04-11,Delivered,24.4
36022,5829,148030,2024-03-12,Delivered,19.81
26270,6793,102852,2023-06-14,Delivered,20.84
12297,5237,143672,2023-07-16,Delivered,55.82
27334,7317,106219,2023-12-15,Delivered,21.51
68106,5794,124020,2023-11-14,Delivered,20.97
9790,5403,109609,2024-02-29,Cancelled by customer,11.81
23292,6910,118185,2024-01-06,Delivered,61.72
9462,7188,174960,2023-07-05,Unassigned,11.19
5365,5585,136023,2024-01-28,Delivered,90.42
69186,6329,138897,2023-07-14,Delivered,34.69
18207,5850,119380,2024-03-12,Delivered,15.83
48758,6673,167872,2024-01-23,Delivered,10.33
45252,6881,116055,2023-09-19,Delivered,83.1
25033,6765,165575,2023-11-22,Delivered,18.81
33797,6876,114340,2024-03-08,Delivered,52.08
17406,7247,107463,2023-10-24,Delivered,49.84
37420,6822,143984,2024-05-14,Delivered,20.91
69504,5822,130308,2023-07-25,Delivered,12.73
20669,7397,136212,2023-09-12,Delivered,35.65
24761,6397,116126,2024-01-13,Unassigned,37.51
16337,5293,167318,2024-04-01,Delivered,8.58
1514,7381,106825,2023-10-21,Delivered,27.06
1579,6157,175305,2024-01-10,Delivered,25.9
18474,6820,116719,2023-12-03,Delivered,20.0
5399,5936,116586,2024-05-27,Delivered,41.15
18193,7450,176700,2024-01-15,Delivered,21.43
69729,7340,120029,2023-07-19,Delivered,23.79
43747,5486,146623,2023-09-28,Delivered,6.84
52639,6813,134053,2023-11-07,Unassigned,54.4
41663,5250,114374,2024-01-01,Delivered,25.77
60863,7293,129828,2023-10-03,Cancelled by customer,24.03
26685,7482,118108,2023-08-23,Delivered,42.43
20008,7067,166007,2023-12-30,Delivered,21.39
4015,7026,118301,2023-06-18,Cancelled by customer,45.7
61382,6200,145229,2023-07-08,Delivered,24.87
47530,5696,128847,2023-12-03,Delivered,4.0
25887,6652,108431,2023-10-11,Delivered,30.85
69778,5282,157717,2023-09-03,Delivered,43.9
68156,6184,114507,2024-03-11,Delivered,18.51
29748,6167,159117,2023-07-14,Delivered,46.69
46306,5320,158927,2023-12-08,Delivered,27.34
65538,5405,143748,2024-01-15,Cancelled by customer,10.26
21901,7356,101561,2023-12-07,Cancelled by customer,35.09
44421,6929,117818,2024-01-10,Delivered,14.42
6076,6350,129385,2023-10-19,Delivered,33.72
35841,7361,157934,2024-03-22,Delivered,39.08
58576,7008,166673,2024-04-11,Delivered,34.23
69633,5161,138193,2023-11-12,Delivered,41.75
63438,7204,136131,2023-07-03,Cancelled by customer,7.33
32061,6217,144339,2023-07-20,Delivered,31.79
67882,7224,125383,2024-02-03,Delivered,20.7
60002,7201,102523,2023-12-15,Delivered,44.78
31642,7133,104949,2023-06-07,Unassigned,24.73
7066,5741,115448,2023-12-07,Delivered,31.82
5163,6848,169425,2024-02-01,Delivered,35.2
32600,6675,164589,2024-01-23,Cancelled by customer,27.75
45089,6708,135541,2023-06-13,Delivered,35.48
39674,7302,144618,2024-05-30,Delivered,22.47
1296,5093,123239,2024-04-17,Delivered,10.81
38925,5194,141244,2024-01-01,Delivered,7.8
7788,6621,107817,2023-10-23,Unassigned,18.4
55001,6736,121984,2023-11-20,Delivered,41.17
