order_id,courier_id,customer_id,order_date,status,order_value,delivery_minutes,rating_given,on_time,complaint_filed
2759,5259,135638,2023-12-14,Delivered,8.67,18.7,4.0,True,False
37135,7432,138750,2023-12-23,Delivered,35.69,36.3,5.0,True,False
29159,5401,146683,2023-08-07,Unassigned,33.45,,,False,False
5366,7302,114887,2024-03-18,Delivered,11.18,42.4,5.0,False,False
52943,7114,132220,2023-09-10,Delivered,29.47,31.4,3.0,True,False
58514,6064,133994,2023-09-13,Delivered,19.36,39.4,4.0,True,False
53415,5709,168792,2024-03-08,Delivered,12.06,36.1,4.0,True,False
2617,6834,119061,2023-09-02,Delivered,27.36,39.9,4.0,True,False
15340,5620,107415,2023-06-03,Delivered,22.95,25.6,2.0,False,True
12888,7247,109253,2023-10-21,Delivered,33.79,27.7,4.0,True,False
68583,6487,174101,2023-10-22,Delivered,12.18,29.9,4.0,True,True
43035,5000,132805,2023-06-30,Delivered,36.35,38.0,4.0,False,False
7429,5558,149444,2024-03-04,Delivered,33.55,41.2,4.0,False,False
61150,6444,120995,2023-06-22,Delivered,25.85,27.3,5.0,True,False
15775,6756,144278,2023-06-18,Delivered,14.78,35.8,5.0,True,False
48575,6492,174190,2024-05-04,Delivered,27.93,24.8,4.0,True,False
28413,6203,117958,2024-04-28,Delivered,17.63,28.2,4.0,True,False
50637,6911,146644,2023-10-17,Delivered,30.41,28.7,5.0,True,False
22163,5500,174916,2023-10-19,Delivered,33.83,29.3,5.0,True,False
52806,6869,124136,2023-12-16,Delivered,8.99,27.7,4.0,True,False
19470,5064,106773,2023-11-18,Delivered,22.07,29.7,5.0,True,False
25543,6388,121439,2023-09-15,Delivered,21.96,29.0,4.0,False,False
52033,5542,160957,2023-11-28,Delivered,23.81,38.3,4.0,True,False
30798,5749,122780,2023-07-06,Delivered,17.77,27.7,5.0,True,False
38924,5986,164779,2023-07-03,Delivered,26.18,36.2,4.0,False,False
69843,7378,111281,2023-08-24,Cancelled by customer,57.37,,,False,False
6490,5807,145659,2024-03-13,Delivered,37.04,32.8,5.0,True,False
46089,7027,135671,2023-09-17,Delivered,45.76,31.7,3.0,True,False
8338,6983,115302,2024-04-11,Delivered,24.4,26.8,4.0,True,False
36022,5829,148030,2024-03-12,Delivered,19.81,30.4,3.0,True,True
26270,6793,102852,2023-06-14,Delivered,20.84,26.8,5.0,True,False
12297,5237,143672,2023-07-16,Delivered,55.82,27.2,4.0,False,False
27334,7317,106219,2023-12-15,Delivered,21.51,33.4,5.0,True,False
68106,5794,124020,2023-11-14,Delivered,20.97,28.9,3.0,True,False
9790,5403,109609,2024-02-29,Cancelled by customer,11.81,,,False,False
23292,6910,118185,2024-01-06,Delivered,61.72,34.5,3.0,True,False
9462,7188,174960,2023-07-05,Unassigned,11.19,,,False,False
5365,5585,136023,2024-01-28,Delivered,90.42,23.6,3.0,True,False
69186,6329,138897,2023-07-14,Delivered,34.69,27.2,5.0,True,False
18207,5850,119380,2024-03-12,Delivered,15.83,32.8,5.0,True,False
48758,6673,167872,2024-01-23,Delivered,10.33,23.3,5.0,True,False
45252,6881,116055,2023-09-19,Delivered,83.1,31.5,4.0,True,False
25033,6765,165575,2023-11-22,Delivered,18.81,41.1,4.0,True,True
33797,6876,114340,2024-03-08,Delivered,52.08,29.7,4.0,True,True
17406,7247,107463,2023-10-24,Delivered,49.84,35.7,5.0,True,False
