order_id,courier_id,customer_id,order_date,status,order_value,delivery_minutes,rating_given,on_time,complaint_filed
9867,5809,104794,2024-05-04,Delivered,35.44,36.8,4.0,False,False
51843,7048,145869,2023-12-25,Delivered,27.28,36.8,4.0,False,False
28636,5374,159348,2023-09-19,Unassigned,39.44,,,False,False
34383,6891,174928,2024-04-27,Delivered,44.0,33.0,4.0,True,False
14841,5158,104682,2023-12-11,Delivered,26.23,43.5,4.0,True,False
59670,5701,164674,2023-12-09,Delivered,28.34,28.0,5.0,True,False
42990,6934,176646,2024-02-19,Delivered,20.94,47.5,2.0,True,False
6862,6714,111671,2023-10-14,Delivered,43.32,31.0,5.0,False,False
51639,6251,141073,2024-04-10,Delivered,34.74,24.7,3.0,False,False
7588,5856,162507,2024-03-19,Delivered,47.24,31.1,4.0,True,False
4217,6605,173818,2024-04-14,Delivered,53.01,30.3,4.0,False,False
5480,7072,130423,2023-12-06,Delivered,41.45,36.7,3.0,False,False
45882,6162,158148,2024-06-01,Delivered,27.39,35.5,4.0,True,False
21926,5784,103185,2024-01-14,Delivered,14.47,45.0,4.0,True,False
12478,5874,157383,2024-04-06,Delivered,53.63,25.5,5.0,True,False
31517,5143,126392,2023-07-25,Delivered,33.28,29.2,2.0,True,False
29348,6096,173359,2024-04-16,Cancelled by customer,26.41,,,False,False
54279,5479,133167,2024-03-15,Delivered,13.97,31.6,4.0,False,False
17887,6514,176231,2023-08-19,Delivered,38.78,33.0,5.0,False,False
55891,5604,112379,2023-09-23,Delivered,73.22,27.1,4.0,True,False
61607,6925,136703,2023-10-01,Delivered,17.82,35.2,5.0,True,False
15445,5511,159766,2024-02-03,Delivered,21.38,25.7,5.0,True,False
18306,5460,109824,2024-01-03,Delivered,12.45,31.4,5.0,True,False
67845,5275,148157,2023-12-16,Delivered,47.14,41.2,4.0,True,False
48530,7377,118961,2024-03-29,Cancelled by customer,47.99,,,False,False
15920,6986,141887,2023-06-11,Delivered,28.62,48.2,4.0,True,False
10525,5361,157455,2024-04-03,Delivered,26.42,31.0,5.0,True,False
12668,5125,136891,2023-11-04,Delivered,24.53,32.2,5.0,True,False
2031,6665,155636,2024-03-17,Delivered,24.8,31.9,3.0,False,False
37466,7358,117915,2024-01-26,Delivered,27.89,33.0,4.0,True,False
31283,6143,178309,2024-05-30,Delivered,9.03,38.0,5.0,True,False
39193,7216,127624,2024-01-12,Delivered,37.6,34.9,4.0,True,False
36115,7389,124864,2024-05-15,Cancelled by customer,25.2,,,False,False
55270,7277,133899,2023-06-08,Delivered,42.42,35.3,5.0,True,False
52900,7095,149634,2024-04-05,Delivered,27.0,30.1,4.0,True,False
2208,6080,135649,2023-07-21,Delivered,66.02,33.6,5.0,True,False
7164,5182,174293,2023-09-04,Delivered,36.05,26.8,5.0,True,False
24349,6991,110802,2023-06-07,Delivered,28.68,34.6,4.0,True,False
60756,6208,155672,2024-05-16,Cancelled by customer,41.94,,,False,False
65443,5577,148272,2023-09-13,Delivered,36.04,29.8,5.0,True,False
68795,7197,111565,2023-08-15,Delivered,36.4,29.6,4.0,True,False
55016,7300,160653,2024-03-08,Unassigned,20.82,,,False,False
55496,6415,171872,2024-04-04,Cancelled by customer,24.63,,,False,False
19077,6543,126717,2023-08-09,Delivered,22.47,23.4,4.0,True,False
4935,5455,173994,2023-09-09,Delivered,29.42,32.1,4.0,True,False
32714,7246,154103,2023-11-22,Delivered,35.19,26.3,4.0,True,False
8397,7061,121207,2023-10-11,Delivered,62.6,19.0,5.0,True,False
57862,7073,154052,2024-02-24,Delivered,23.0,35.3,3.0,True,False
47383,5050,146938,2023-11-29,Delivered,24.97,35.9,5.0,True,False
33714,6047,165732,2023-10-09,Delivered,16.08,46.4,5.0,True,False
49335,7064,153130,2024-03-14,Cancelled by customer,51.25,,,False,False
49042,7404,174057,2023-10-24,Delivered,49.59,36.5,3.0,False,False
9733,6035,143353,2023-09-30,Delivered,26.41,34.2,5.0,True,False
16133,5292,101999,2024-05-01,Delivered,19.43,23.6,4.0,True,False
48508,7014,100379,2023-09-05,Delivered,53.27,48.9,4.0,True,False
20002,7298,135306,2024-03-16,Delivered,20.74,18.9,5.0,True,False
5056,7186,165406,2023-10-28,Delivered,30.85,26.3,4.0,True,False
521,6213,121017,2023-09-19,Unassigned,42.57,,,False,False
15875,6954,156796,2024-05-13,Unassigned,42.17,,,False,False
6801,5633,146902,2023-11-17,Delivered,50.18,24.0,4.0,False,False
8363,5745,126510,2024-03-26,Delivered,32.54,42.2,4.0,True,False
69101,5432,160557,2024-03-11,Delivered,21.43,24.7,4.0,True,False
29838,5126,109671,2023-09-26,Delivered,27.16,39.1,4.0,True,False
32680,7302,144049,2023-12-27,Delivered,10.65,36.0,5.0,True,False
48062,6410,134728,2024-03-06,Delivered,5.99,49.6,4.0,True,False
17335,6532,110037,2024-01-29,Delivered,25.88,33.9,5.0,True,False
15386,5607,178492,2023-06-25,Delivered,21.76,37.4,5.0,True,False
4685,7061,107690,2024-02-17,Delivered,51.09,26.1,4.0,True,False
26347,6375,107698,2023-12-17,Cancelled by customer,33.2,,,False,False
31233,7229,148517,2023-08-16,Delivered,18.71,34.5,3.0,False,False
43830,7476,132162,2024-02-25,Delivered,52.2,36.1,4.0,True,False
42640,6483,110609,2023-10-08,Delivered,40.53,24.0,3.0,True,False
20513,7449,160870,2024-03-20,Delivered,22.52,14.2,4.0,True,True
22527,5877,110663,2023-11-16,Unassigned,29.44,,,False,False
53540,5082,138998,2023-09-17,Delivered,40.3,40.8,4.0,True,False
17013,5821,145387,2023-11-18,Cancelled by customer,22.69,,,False,False
60271,6477,100996,2023-08-19,Delivered,16.66,33.6,5.0,True,False
18352,5878,140152,2024-04-19,Delivered,27.67,30.8,5.0,True,False
38266,6806,139348,2023-11-06,Delivered,40.44,35.0,5.0,True,False
23599,7394,137542,2023-11-14,Delivered,56.34,20.5,3.0,True,False
14839,5098,144233,2024-05-09,Delivered,29.63,29.8,5.0,True,False
20853,5037,164426,2024-03-19,Delivered,55.78,38.0,5.0,True,False
66799,6134,110661,2024-04-14,Delivered,59.81,38.7,4.0,False,False
31595,7424,141226,2023-08-22,Delivered,20.31,29.2,4.0,True,False
66098,6024,140282,2024-01-05,Delivered,25.98,21.1,5.0,True,False
59211,5132,117496,2023-11-03,Delivered,39.72,31.6,5.0,True,True
8187,6344,174295,2024-04-20,Delivered,15.77,24.9,5.0,True,False
17081,6718,154982,2024-05-03,Delivered,45.32,35.2,5.0,False,False
36622,6636,164002,2023-06-15,Delivered,58.19,32.2,5.0,True,False
4515,6774,157657,2024-01-15,Delivered,27.4,26.8,4.0,True,False
16448,6396,136722,2023-06-13,Unassigned,31.28,,,False,False
10913,6947,110971,2024-01-14,Delivered,18.98,16.0,5.0,True,False
49853,7374,101312,2023-10-11,Delivered,10.27,42.0,4.0,False,False
34598,6581,103007,2024-03-26,Delivered,52.65,37.3,4.0,False,False
64750,6023,100298,2024-01-17,Cancelled by customer,8.15,,,False,False
32647,5800,165668,2024-02-06,Cancelled by customer,41.57,,,False,False
21171,5568,106466,2023-10-26,Delivered,61.39,27.6,4.0,True,False
44715,5852,150087,2023-07-11,Delivered,32.8,42.3,4.0,True,False
66390,7251,140150,2023-06-29,Delivered,22.7,23.7,3.0,True,False
29657,5277,107317,2023-07-17,Delivered,11.35,36.0,4.0,True,False
48290,5127,130713,2023-09-01,Delivered,33.16,36.5,5.0,False,False
18138,7106,160845,2024-02-22,Delivered,20.37,44.0,5.0,True,False
12826,6419,139012,2023-07-21,Delivered,29.93,30.9,2.0,True,False
7241,7176,122909,2024-01-15,Delivered,25.63,16.8,5.0,False,False
28070,6767,133392,2023-11-05,Delivered,37.92,42.7,4.0,False,True
35639,5529,147618,2023-10-22,Delivered,28.42,37.0,5.0,True,True
51180,6748,127951,2024-01-31,Cancelled by customer,9.55,,,False,False
56249,5146,125590,2023-12-18,Unassigned,25.88,,,False,False
47975,5885,104520,2023-06-03,Delivered,29.63,28.7,4.0,True,False
46771,5784,163940,2023-07-16,Cancelled by customer,29.6,,,False,False
41793,6070,123619,2024-03-01,Cancelled by customer,5.88,,,False,False
29568,6047,117785,2023-08-07,Delivered,27.54,33.6,5.0,True,False
35531,6361,104936,2024-02-11,Delivered,32.65,39.6,3.0,False,False
47397,5638,105535,2023-07-13,Delivered,36.4,33.4,5.0,False,False
6439,6951,159403,2023-11-30,Delivered,31.87,40.2,3.0,True,False
62766,5870,104715,2024-03-01,Delivered,49.37,38.9,5.0,True,False
13665,5686,119436,2023-10-31,Cancelled by customer,29.87,,,False,False
44734,5702,148234,2023-10-27,Delivered,7.43,45.4,5.0,True,False
26251,7253,127183,2023-08-18,Delivered,24.22,33.7,5.0,True,False
37653,5308,165602,2023-11-05,Cancelled by customer,27.53,,,False,False
62205,6563,136481,2024-02-13,Delivered,45.21,31.1,5.0,True,False
27724,6687,157199,2024-04-13,Delivered,14.0,36.1,4.0,True,False
28389,5764,118272,2024-01-06,Delivered,43.08,37.5,4.0,True,False
7084,6647,155999,2023-10-12,Delivered,28.67,33.3,4.0,True,False
14055,5740,105437,2023-08-24,Delivered,25.43,21.7,4.0,True,False
13045,6237,125344,2023-09-14,Delivered,41.33,24.8,5.0,True,False
65511,5144,103894,2024-04-20,Delivered,15.8,29.8,4.0,True,False
69358,5628,139216,2024-01-13,Delivered,54.47,29.6,4.0,True,False
67799,6807,101204,2024-01-25,Delivered,49.94,30.3,5.0,True,False
45044,6761,123762,2023-11-14,Delivered,41.25,25.0,3.0,False,False
25693,5367,137602,2023-08-07,Delivered,23.56,9.7,5.0,True,False
50258,6742,136051,2024-04-28,Delivered,30.61,40.0,4.0,True,False
21431,5093,111989,2023-08-03,Cancelled by customer,41.69,,,False,False
14067,6138,152185,2024-03-05,Delivered,18.76,37.2,4.0,True,False
20998,6724,160502,2024-04-07,Delivered,16.66,39.4,5.0,True,False
56612,5175,107205,2024-01-22,Delivered,27.84,29.1,3.0,True,False
54972,5041,167497,2024-01-03,Delivered,11.01,25.1,5.0,True,False
68763,7289,148099,2023-08-23,Unassigned,29.13,,,False,False
14057,5236,118262,2024-01-20,Delivered,41.09,27.0,5.0,True,False
34967,6908,143902,2024-05-07,Delivered,14.66,33.5,4.0,True,False
11312,5950,121428,2023-12-23,Delivered,25.51,45.5,3.0,True,False
3593,5974,132988,2023-06-22,Delivered,15.63,28.8,3.0,True,False
41629,5559,131456,2024-05-05,Cancelled by customer,32.92,,,False,False
48706,6376,179546,2024-05-11,Delivered,23.75,30.8,4.0,True,False
2274,5409,121194,2023-11-02,Delivered,48.53,35.5,4.0,True,False
13763,6301,155097,2023-08-01,Delivered,53.73,24.0,4.0,True,False
47317,5964,161656,2024-04-09,Delivered,21.03,50.9,4.0,False,False
39846,6430,129142,2023-06-20,Delivered,29.22,38.7,4.0,True,False
43758,6846,121596,2023-07-21,Delivered,12.98,35.0,5.0,True,False
5138,7365,144900,2024-04-24,Delivered,45.58,20.9,5.0,True,False
17699,6902,130421,2024-01-21,Delivered,41.89,31.9,4.0,False,False
26203,5887,152410,2024-01-07,Delivered,40.64,39.8,4.0,True,False
1688,7095,141857,2023-09-26,Delivered,18.62,35.4,5.0,False,False
63499,5670,119719,2024-03-31,Delivered,41.35,34.7,4.0,False,False
12252,5620,178463,2024-02-14,Delivered,44.04,46.1,4.0,True,False
18879,5218,112475,2024-03-03,Delivered,18.72,41.3,5.0,True,False
37685,7331,124815,2023-12-12,Unassigned,17.67,,,False,False
1815,7111,108869,2023-09-11,Unassigned,7.36,,,False,False
40046,6183,154027,2024-02-15,Delivered,36.45,23.8,4.0,True,False
40929,7029,172779,2024-01-26,Delivered,14.65,23.8,5.0,False,False
1637,5700,107066,2023-12-24,Unassigned,27.62,,,False,False
32141,7071,130130,2024-03-23,Delivered,23.36,37.9,4.0,True,False
35776,6756,176220,2024-04-30,Unassigned,27.35,,,False,False
64098,5762,142742,2024-03-18,Delivered,9.5,44.3,4.0,False,False
24740,5058,174085,2023-08-23,Delivered,25.87,16.0,5.0,True,False
18355,5346,110149,2023-10-17,Delivered,51.63,27.9,4.0,True,False
11632,6330,153215,2024-03-20,Delivered,19.54,24.7,4.0,False,False
21413,7279,122612,2024-04-05,Delivered,47.0,33.7,3.0,True,False
33376,5023,162876,2024-05-12,Delivered,32.89,29.9,5.0,False,False
30457,5302,124391,2023-09-22,Delivered,47.88,31.5,5.0,False,False
5922,6343,105351,2023-10-25,Cancelled by customer,33.18,,,False,False
18388,5858,156612,2024-04-13,Delivered,10.1,43.1,3.0,True,False
42681,6670,103675,2024-01-04,Delivered,13.92,32.8,4.0,True,False
34886,6096,138081,2024-03-24,Delivered,26.18,38.7,4.0,True,False
25298,6226,131403,2023-10-03,Delivered,32.0,46.5,5.0,True,False
4184,6818,128007,2023-07-12,Delivered,18.89,14.0,5.0,True,False
33471,7256,100462,2023-08-22,Delivered,12.05,28.1,4.0,True,False
33177,6927,167708,2024-05-27,Delivered,44.58,38.1,4.0,True,False
