ride_id,driver_id,passenger_id,date,status,car_clearness_upvote_given,politeness_upvote_given,communication_upvote_given,punctuality_upvote_given,complaint_given
44843,2376,28964,2023-01-08,Success,True,False,False,False,False
17416,55,34813,2022-10-18,Success,False,True,False,False,False
4771,1175,16464,2023-04-13,Success,False,True,True,True,True
52909,2543,15014,2022-10-08,Success,False,False,True,True,True
55143,1214,25641,2022-10-29,Success,True,False,False,True,False
10043,1408,27537,2023-01-19,Success,False,True,False,False,False
2399,120,19751,2023-02-19,Success,True,True,False,False,False
5289,1842,27664,2022-08-07,Rejected by the driver,False,False,False,False,False
3509,8,22497,2022-09-27,Success,False,False,True,True,False
3866,1799,8962,2023-02-02,Success,False,False,False,False,False
8263,2518,32781,2022-05-22,Success,False,True,True,True,False
38592,146,26466,2023-03-27,Success,False,True,True,False,False
38911,450,3705,2022-09-16,Success,True,True,True,True,True
54996,683,20823,2023-03-06,Success,False,True,False,False,False
40010,1734,4691,2022-11-11,Success,False,False,False,True,False
15534,1639,2022,2022-08-27,Success,True,True,False,False,False
8082,953,29769,2022-09-25,Success,True,True,False,False,False
29446,91,20217,2022-08-15,Success,True,False,False,True,False
3835,252,38755,2023-01-27,Cancelled by the passenger,False,False,False,False,False
54824,2671,2062,2022-08-13,Success,True,True,True,False,False
11609,2349,5456,2022-10-31,Success,False,True,False,False,False
39641,1445,36915,2023-01-05,Success,False,False,False,False,False
40231,1639,10297,2022-05-01,Cancelled by the passenger,False,False,False,False,False
58744,2145,25036,2022-06-14,Success,False,False,True,False,False
48799,1970,11617,2022-10-01,Success,True,False,False,False,False
27952,1112,10587,2022-09-30,Success,False,True,False,False,False
58960,540,26505,2022-08-21,Cancelled by the passenger,False,False,False,False,False
39219,1295,34002,2022-08-22,Success,True,True,False,True,False
8755,2083,8502,2022-06-20,Rejected by the driver,False,False,False,False,False
42266,285,14054,2022-11-04,Success,True,True,True,False,False
31055,1542,15446,2022-11-07,Success,True,False,True,True,False
5388,2362,16422,2022-11-22,Success,False,False,False,True,False
52096,869,24039,2023-01-10,Success,True,False,True,True,True
50825,1537,19684,2022-04-22,Success,False,True,True,True,False
53581,1946,17967,2022-07-16,Success,True,False,False,True,False
9417,2998,28737,2022-05-11,Success,True,False,False,True,True
47806,1161,725,2022-04-10,Success,False,True,True,False,False
47957,2278,9709,2022-11-02,Success,True,False,True,False,False
38518,1664,7947,2022-05-12,Success,True,True,True,True,False
20627,180,31430,2022-04-08,Success,False,False,True,False,False
50772,2900,32107,2022-06-11,Success,True,True,True,True,False
25471,2302,24244,2023-04-06,Rejected by the driver,False,False,False,False,False
16499,1074,1150,2022-04-11,Success,True,True,True,False,False
18418,2944,2768,2023-02-27,Success,True,False,True,False,False
46179,80,36460,2022-07-16,Success,False,False,False,False,False
3236,2066,16528,2022-05-08,Success,True,True,True,True,False
51714,2982,11692,2023-02-28,Cancelled by the passenger,False,False,False,False,False
30275,1136,10123,2022-03-23,Success,False,True,True,True,False
36858,824,30371,2022-12-28,Success,False,False,True,True,False
1279,72,8728,2022-04-27,Success,False,True,False,False,False
46641,1634,16909,2023-02-05,Rejected by the driver,False,False,False,False,False
27796,565,30029,2023-03-17,Success,True,False,True,False,False
42064,33,5635,2022-07-01,Success,False,True,True,True,False
30540,968,12080,2023-01-02,Success,False,False,False,True,False
16126,295,27793,2022-03-16,Success,True,False,True,False,False
12587,2921,30434,2022-03-15,Success,False,True,False,False,False
13096,1476,25055,2022-06-30,Success,False,False,True,True,False
33070,2926,3655,2022-12-24,Success,False,True,True,True,False
46346,1943,21594,2022-11-13,Success,True,True,False,True,False
16014,1264,10886,2022-07-02,Success,False,True,True,True,False
52382,1419,37112,2022-12-18,Success,False,False,True,True,False
23011,21,34534,2023-01-31,Success,False,False,False,False,False
59731,2197,1914,2023-03-23,Success,False,False,False,True,False
59465,1678,7497,2023-01-22,Success,False,True,False,False,True
1100,1557,23282,2022-04-23,Success,True,True,True,True,True
46819,2402,4315,2023-01-27,Rejected by the driver,False,False,False,False,False
26296,2095,38640,2023-01-07,Cancelled by the passenger,False,False,False,False,False
27945,2349,19931,2023-03-24,Rejected by the driver,False,False,False,False,False
2586,1753,8411,2023-02-20,Cancelled by the passenger,False,False,False,False,False
33642,2398,13900,2022-03-22,Success,True,True,True,True,False
56673,2456,12555,2022-06-18,Rejected by the driver,False,False,False,False,False
2882,34,16058,2023-01-27,Success,False,True,False,True,False
43232,2223,9681,2023-03-24,Success,False,True,True,True,True
40710,2409,16259,2023-01-21,Success,True,True,True,True,False
3752,433,13576,2022-04-15,Success,False,True,False,False,False
14837,2175,110,2022-11-23,Success,True,True,True,True,False
52397,1820,10155,2023-03-04,Success,False,True,False,False,False
15896,54,17331,2022-04-21,Rejected by the driver,False,False,False,False,False
10863,2036,33290,2023-01-26,Success,True,True,True,True,True
56075,769,31578,2022-07-30,Success,False,True,True,False,False
58191,1356,39482,2022-11-19,Rejected by the driver,False,False,False,False,False
42103,2692,33779,2022-11-14,Success,True,True,False,True,False
4408,269,21292,2023-02-08,Success,True,True,True,True,False
57537,2563,15399,2023-03-07,Success,True,True,True,False,False
54900,1997,9692,2022-12-18,Rejected by the driver,False,False,False,False,False
26717,1674,33800,2022-07-28,Success,True,False,False,False,True
30183,1682,22287,2022-03-18,Success,True,False,False,False,True
48000,1893,15411,2022-10-21,Rejected by the driver,False,False,False,False,False
29822,768,357,2022-10-17,Success,True,False,True,True,False
27680,2505,14009,2023-03-17,Success,True,False,True,True,False
33142,370,28500,2023-01-06,Rejected by the driver,False,False,False,False,False
13879,586,8519,2023-02-04,Success,False,True,False,True,False
56934,2166,8212,2023-04-04,Success,False,True,False,False,True
16266,2937,34162,2023-02-04,Success,True,False,True,True,False
2272,2417,264,2022-10-16,Rejected by the driver,False,False,False,False,False
52458,609,31873,2022-04-09,Success,False,False,True,False,False
14157,210,22977,2022-07-08,Success,True,True,True,True,False
10081,1462,24774,2022-07-28,Success,True,False,False,True,True
57253,287,32266,2022-06-06,Rejected by the driver,False,False,False,False,False
4377,1423,2538,2023-03-28,Success,False,True,True,True,False
42387,1765,36034,2023-04-04,Success,False,False,False,True,False
46559,1935,9369,2022-06-17,Success,False,False,True,False,False
959,778,30058,2022-09-08,Rejected by the driver,False,False,False,False,False
23604,1806,19233,2022-08-30,Success,False,False,False,False,False
17925,2118,14035,2022-09-20,Success,False,False,False,True,False
13169,515,25903,2022-03-31,Success,True,True,False,False,False
24272,481,22697,2022-03-29,Cancelled by the passenger,False,False,False,False,False
59615,582,24914,2022-12-21,Success,False,False,False,False,False
53705,1854,9348,2022-05-14,Success,False,False,False,True,False
32998,1222,36588,2022-03-24,Success,False,False,True,True,False
54496,473,7445,2023-03-22,Rejected by the driver,False,False,False,False,False
45334,1290,12611,2022-07-19,Rejected by the driver,False,False,False,False,False
9221,2786,3389,2022-04-26,Cancelled by the passenger,False,False,False,False,False
48277,598,22125,2022-08-10,Success,False,True,False,True,False
20202,834,14534,2022-12-26,Cancelled by the passenger,False,False,False,False,False
47710,1126,10797,2023-04-06,Success,False,True,True,True,False
4494,2338,11554,2022-08-13,Rejected by the driver,False,False,False,False,False
4660,817,2219,2023-03-07,Rejected by the driver,False,False,False,False,False
58719,517,26836,2022-07-02,Cancelled by the passenger,False,False,False,False,False
35899,1040,30630,2023-03-11,Success,True,False,True,True,False
25440,2723,29495,2023-02-02,Success,False,True,True,True,False
27347,666,25144,2023-01-17,Success,False,True,False,False,False
49631,2599,22690,2023-03-18,Rejected by the driver,False,False,False,False,False
46979,2896,22250,2022-11-12,Success,True,True,False,False,False
54442,718,18279,2022-10-16,Success,True,False,True,True,False
39306,2804,7854,2022-09-26,Success,False,True,True,False,False
18162,1027,29865,2022-07-17,Success,True,False,True,True,False
32401,1255,2509,2022-03-21,Success,False,True,False,True,False
17552,1238,26623,2022-10-19,Rejected by the driver,False,False,False,False,False
13324,1075,3339,2022-07-20,Success,False,True,False,False,False
298,888,31257,2022-09-28,Success,True,False,False,False,False
13547,208,27333,2023-01-31,Success,False,False,False,True,False
9007,2606,16301,2022-03-23,Success,True,True,False,False,False
43295,120,17320,2023-01-10,Success,True,True,True,False,False
2628,781,24041,2023-04-01,Success,True,False,True,False,False
1609,419,11834,2022-03-24,Success,True,True,False,True,False
11118,100,25387,2022-12-24,Success,False,False,True,True,True
5547,300,39077,2022-11-17,Success,True,False,False,True,False
2381,1035,38309,2023-03-15,Success,True,True,True,True,False
38036,195,1328,2022-08-02,Success,False,True,True,True,False
32050,280,20366,2022-10-09,Success,True,True,False,False,False
18706,2257,15384,2022-08-23,Success,False,True,True,False,False
17335,1099,34658,2022-03-26,Rejected by the driver,False,False,False,False,False
7751,2323,35501,2022-08-27,Success,False,False,False,False,False
12269,2279,4677,2023-02-18,Cancelled by the passenger,False,False,False,False,False
23828,2069,8255,2022-12-22,Cancelled by the passenger,False,False,False,False,False
33247,690,11823,2023-03-29,Cancelled by the passenger,False,False,False,False,False
34716,1910,19819,2022-12-15,Success,False,False,True,False,True
38534,243,39978,2022-10-12,Cancelled by the passenger,False,False,False,False,False
44274,2520,26270,2022-10-16,Success,False,False,False,False,False
7137,804,13840,2022-12-22,Success,True,False,False,True,False
19313,1601,25907,2022-11-23,Success,False,True,True,True,True
1973,1227,35727,2023-03-31,Success,False,True,True,True,False
55473,2534,11675,2022-08-03,Success,True,False,True,True,False
28615,2415,10851,2023-02-04,Success,True,True,False,False,False
21973,1658,10373,2023-01-06,Success,True,False,False,True,False
52438,2671,37922,2022-03-25,Rejected by the driver,False,False,False,False,False
56174,2812,39076,2023-03-08,Success,True,True,True,True,False
10882,1417,30529,2022-11-21,Success,False,False,False,False,False
56426,2106,2625,2023-04-09,Success,False,False,True,False,False
13940,959,36684,2022-11-09,Rejected by the driver,False,False,False,False,False
251,1403,34381,2022-04-06,Success,True,True,False,True,False
13577,151,31809,2022-12-25,Success,False,False,False,False,False
32314,2715,27775,2023-01-29,Success,True,True,False,True,True
14078,1277,12741,2023-03-11,Success,False,True,True,False,False
25268,2405,36184,2023-03-05,Success,True,False,True,False,True
