ride_id,driver_id,passenger_id,date,status
44843,2376,28964,2023-01-08,Success
17416,55,34813,2022-10-18,Success
4771,1175,16464,2023-04-13,Success
52909,2543,15014,2022-10-08,Success
55143,1214,25641,2022-10-29,Success
10043,1408,27537,2023-01-19,Success
2399,120,19751,2023-02-19,Success
5289,1842,27664,2022-08-07,Rejected by the driver
3509,8,22497,2022-09-27,Success
3866,1799,8962,2023-02-02,Success
8263,2518,32781,2022-05-22,Success
38592,146,26466,2023-03-27,Success
38911,450,3705,2022-09-16,Success
54996,683,20823,2023-03-06,Success
40010,1734,4691,2022-11-11,Success
15534,1639,2022,2022-08-27,Success
8082,953,29769,2022-09-25,Success
29446,91,20217,2022-08-15,Success
3835,252,38755,2023-01-27,Cancelled by the passenger
54824,2671,2062,2022-08-13,Success
11609,2349,5456,2022-10-31,Success
39641,1445,36915,2023-01-05,Success
40231,1639,10297,2022-05-01,Cancelled by the passenger
58744,2145,25036,2022-06-14,Success
48799,1970,11617,2022-10-01,Success
27952,1112,10587,2022-09-30,Success
58960,540,26505,2022-08-21,Cancelled by the passenger
39219,1295,34002,2022-08-22,Success
8755,2083,8502,2022-06-20,Rejected by the driver
42266,285,14054,2022-11-04,Success
31055,1542,15446,2022-11-07,Success
5388,2362,16422,2022-11-22,Success
52096,869,24039,2023-01-10,Success
50825,1537,19684,2022-04-22,Success
53581,1946,17967,2022-07-16,Success
9417,2998,28737,2022-05-11,Success
47806,1161,725,2022-04-10,Success
47957,2278,9709,2022-11-02,Success
38518,1664,7947,2022-05-12,Success
20627,180,31430,2022-04-08,Success
50772,2900,32107,2022-06-11,Success
25471,2302,24244,2023-04-06,Rejected by the driver
16499,1074,1150,2022-04-11,Success
18418,2944,2768,2023-02-27,Success
46179,80,36460,2022-07-16,Success
3236,2066,16528,2022-05-08,Success
51714,2982,11692,2023-02-28,Cancelled by the passenger
30275,1136,10123,2022-03-23,Success
36858,824,30371,2022-12-28,Success
1279,72,8728,2022-04-27,Success
46641,1634,16909,2023-02-05,Rejected by the driver
27796,565,30029,2023-03-17,Success
42064,33,5635,2022-07-01,Success
30540,968,12080,2023-01-02,Success
16126,295,27793,2022-03-16,Success
12587,2921,30434,2022-03-15,Success
13096,1476,25055,2022-06-30,Success
33070,2926,3655,2022-12-24,Success
46346,1943,21594,2022-11-13,Success
16014,1264,10886,2022-07-02,Success
52382,1419,37112,2022-12-18,Success
23011,21,34534,2023-01-31,Success
59731,2197,1914,2023-03-23,Success
59465,1678,7497,2023-01-22,Success
1100,1557,23282,2022-04-23,Success
46819,2402,4315,2023-01-27,Rejected by the driver
26296,2095,38640,2023-01-07,Cancelled by the passenger
27945,2349,19931,2023-03-24,Rejected by the driver
2586,1753,8411,2023-02-20,Cancelled by the passenger
33642,2398,13900,2022-03-22,Success
56673,2456,12555,2022-06-18,Rejected by the driver
2882,34,16058,2023-01-27,Success
43232,2223,9681,2023-03-24,Success
40710,2409,16259,2023-01-21,Success
3752,433,13576,2022-04-15,Success
14837,2175,110,2022-11-23,Success
52397,1820,10155,2023-03-04,Success
15896,54,17331,2022-04-21,Rejected by the driver
10863,2036,33290,2023-01-26,Success
56075,769,31578,2022-07-30,Success
58191,1356,39482,2022-11-19,Rejected by the driver
42103,2692,33779,2022-11-14,Success
4408,269,21292,2023-02-08,Success
57537,2563,15399,2023-03-07,Success
54900,1997,9692,2022-12-18,Rejected by the driver
26717,1674,33800,2022-07-28,Success
30183,1682,22287,2022-03-18,Success
48000,1893,15411,2022-10-21,Rejected by the driver
29822,768,357,2022-10-17,Success
27680,2505,14009,2023-03-17,Success
33142,370,28500,2023-01-06,Rejected by the driver
13879,586,8519,2023-02-04,Success
56934,2166,8212,2023-04-04,Success
16266,2937,34162,2023-02-04,Success
2272,2417,264,2022-10-16,Rejected by the driver
52458,609,31873,2022-04-09,Success
14157,210,22977,2022-07-08,Success
10081,1462,24774,2022-07-28,Success
57253,287,32266,2022-06-06,Rejected by the driver
4377,1423,2538,2023-03-28,Success
42387,1765,36034,2023-04-04,Success
46559,1935,9369,2022-06-17,Success
959,778,30058,2022-09-08,Rejected by the driver
23604,1806,19233,2022-08-30,Success
17925,2118,14035,2022-09-20,Success
13169,515,25903,2022-03-31,Success
24272,481,22697,2022-03-29,Cancelled by the passenger
59615,582,24914,2022-12-21,Success
53705,1854,9348,2022-05-14,Success
32998,1222,36588,2022-03-24,Success
54496,473,7445,2023-03-22,Rejected by the driver
45334,1290,12611,2022-07-19,Rejected by the driver
9221,2786,3389,2022-04-26,Cancelled by the passenger
48277,598,22125,2022-08-10,Success
20202,834,14534,2022-12-26,Cancelled by the passenger
47710,1126,10797,2023-04-06,Success
4494,2338,11554,2022-08-13,Rejected by the driver
4660,817,2219,2023-03-07,Rejected by the driver
58719,517,26836,2022-07-02,Cancelled by the passenger
35899,1040,30630,2023-03-11,Success
25440,2723,29495,2023-02-02,Success
27347,666,25144,2023-01-17,Success
49631,2599,22690,2023-03-18,Rejected by the driver
46979,2896,22250,2022-11-12,Success
54442,718,18279,2022-10-16,Success
39306,2804,7854,2022-09-26,Success
18162,1027,29865,2022-07-17,Success
32401,1255,2509,2022-03-21,Success
17552,1238,26623,2022-10-19,Rejected by the driver
13324,1075,3339,2022-07-20,Success
298,888,31257,2022-09-28,Success
13547,208,27333,2023-01-31,Success
9007,2606,16301,2022-03-23,Success
43295,120,17320,2023-01-10,Success
2628,781,24041,2023-04-01,Success
1609,419,11834,2022-03-24,Success
11118,100,25387,2022-12-24,Success
5547,300,39077,2022-11-17,Success
2381,1035,38309,2023-03-15,Success
38036,195,1328,2022-08-02,Success
32050,280,20366,2022-10-09,Success
18706,2257,15384,2022-08-23,Success
17335,1099,34658,2022-03-26,Rejected by the driver
7751,2323,35501,2022-08-27,Success
12269,2279,4677,2023-02-18,Cancelled by the passenger
23828,2069,8255,2022-12-22,Cancelled by the passenger
33247,690,11823,2023-03-29,Cancelled by the passenger
34716,1910,19819,2022-12-15,Success
38534,243,39978,2022-10-12,Cancelled by the passenger
44274,2520,26270,2022-10-16,Success
7137,804,13840,2022-12-22,Success
19313,1601,25907,2022-11-23,Success
1973,1227,35727,2023-03-31,Success
55473,2534,11675,2022-08-03,Success
28615,2415,10851,2023-02-04,Success
21973,1658,10373,2023-01-06,Success
52438,2671,37922,2022-03-25,Rejected by the driver
56174,2812,39076,2023-03-08,Success
10882,1417,30529,2022-11-21,Success
56426,2106,2625,2023-04-09,Success
13940,959,36684,2022-11-09,Rejected by the driver
251,1403,34381,2022-04-06,Success
13577,151,31809,2022-12-25,Success
32314,2715,27775,2023-01-29,Success
14078,1277,12741,2023-03-11,Success
25268,2405,36184,2023-03-05,Success
18261,663,26081,2022-09-25,Success
16668,1464,33653,2022-04-08,Success
13462,2895,34030,2022-05-28,Success
43211,2110,38526,2022-05-18,Success
21662,2770,14651,2022-12-21,Success
52340,2192,1051,2022-11-30,Success
18501,1938,27587,2023-03-03,Success
49148,985,15700,2023-01-02,Rejected by the driver
47636,18,20287,2022-10-22,Success
25540,98,37814,2022-11-19,Success
19217,77,26317,2022-09-16,Success
53568,680,18323,2023-01-06,Success
39283,2866,27939,2022-08-03,Success
31344,1261,1665,2023-02-05,Success
28347,2137,37259,2022-11-07,Cancelled by the passenger
9324,1014,28033,2023-03-10,Success
49676,51,32941,2022-05-08,Cancelled by the passenger
42665,395,29967,2022-08-11,Rejected by the driver
16567,379,16357,2022-07-13,Success
4263,1137,31949,2023-02-10,Cancelled by the passenger
22432,254,20583,2022-12-25,Success
58633,2471,18354,2022-08-07,Success
7176,2956,9526,2022-07-25,Success
38292,1047,31736,2023-04-15,Success
14211,673,32794,2022-09-08,Success
50831,654,35303,2022-08-04,Success
4481,975,6739,2022-06-01,Success
32373,605,10053,2022-05-17,Success
25952,2824,635,2023-02-05,Success
9784,902,950,2022-06-10,Success
57899,2555,4010,2023-02-02,Cancelled by the passenger
24752,1900,3222,2022-04-17,Success
37836,2931,37771,2022-07-11,Success
38861,2911,20241,2022-07-11,Success
35665,1398,39932,2022-06-02,Success
18835,2185,36958,2023-04-05,Success
18426,1493,4145,2023-04-02,Cancelled by the passenger
53751,483,585,2022-05-12,Success
11212,2793,33151,2023-04-06,Success
41204,2822,12177,2022-11-01,Success
33866,2358,2991,2023-01-06,Success
31600,151,39572,2023-02-21,Success
15023,781,16904,2022-12-23,Success
28125,2554,13180,2022-11-18,Rejected by the driver
21985,2179,14577,2022-12-26,Success
9984,170,16227,2022-11-20,Success
29260,2994,19658,2023-01-12,Success
10488,2197,5988,2022-10-05,Success
51505,57,23435,2022-12-29,Cancelled by the passenger
44847,610,13918,2022-04-11,Rejected by the driver
11885,1684,20374,2022-09-29,Success
9119,2444,2016,2022-10-25,Success
30733,300,18681,2022-05-02,Success
52230,815,8845,2023-02-13,Success
11217,538,8256,2022-12-03,Success
5177,2843,38354,2022-09-16,Rejected by the driver
8814,557,8005,2022-04-11,Rejected by the driver
34140,1685,39433,2022-08-07,Cancelled by the passenger
352,599,21291,2023-02-16,Cancelled by the passenger
22277,1056,26683,2022-10-14,Cancelled by the passenger
81,2489,7776,2022-05-10,Success
17062,2260,17933,2022-10-16,Rejected by the driver
48461,443,23427,2023-04-14,Cancelled by the passenger
29775,418,15969,2022-11-23,Success
10919,2620,1734,2023-03-15,Success
21901,876,30675,2022-09-15,Rejected by the driver
30464,2077,32405,2022-05-01,Success
2211,90,1384,2022-06-27,Success
24149,2906,31019,2022-06-18,Success
55483,278,4961,2022-10-25,Success
18626,1356,36165,2023-01-26,Success
36728,2982,36991,2022-11-07,Success
