ride_id,driver_id,passenger_id,date,status
22421,961,23964,2023-01-20,Success
7306,1556,15574,2022-10-11,Success
34051,1647,11497,2022-06-16,Success
57816,2215,34165,2023-02-08,Success
5750,432,15134,2022-12-20,Success
35617,602,2908,2022-09-11,Success
16323,662,39548,2023-01-31,Rejected by the driver
10578,2323,10420,2023-03-23,Success
42017,666,3706,2022-11-27,Cancelled by the passenger
50393,2128,25800,2023-04-07,Success
3343,400,25191,2023-02-28,Success
38633,1969,28454,2022-10-08,Rejected by the driver
45925,1006,2973,2022-12-14,Cancelled by the passenger
9093,2346,37732,2022-07-20,Cancelled by the passenger
44469,2809,19856,2022-10-02,Success
42461,1045,10026,2022-12-27,Success
58882,977,2349,2022-06-16,Success
17850,246,27650,2022-08-02,Success
24442,1541,28658,2022-09-16,Success
49196,514,24729,2022-10-20,Success
31211,1371,22123,2023-01-31,Success
18848,656,5223,2022-12-21,Success
32836,794,21805,2022-10-28,Success
49000,2411,25379,2023-01-22,Success
40337,824,25062,2023-04-01,Cancelled by the passenger
13448,2756,8100,2022-09-12,Success
41159,2027,9083,2022-10-25,Success
10829,2028,32924,2023-01-31,Success
33591,2513,33716,2022-09-12,Success
7816,2107,30396,2023-03-03,Success
41618,801,16605,2022-09-16,Success
7924,1267,17271,2023-02-20,Success
8432,39,23666,2022-10-04,Rejected by the driver
42414,81,31529,2022-10-23,Success
26356,465,18158,2022-08-25,Success
39027,566,14181,2022-04-02,Rejected by the driver
1305,2523,16888,2022-05-30,Rejected by the driver
20699,1187,9426,2022-06-30,Cancelled by the passenger
19842,1847,1218,2022-07-06,Success
33437,676,35563,2022-03-15,Success
2859,540,29723,2022-04-11,Success
31264,1443,33145,2022-08-05,Cancelled by the passenger
32548,2513,11280,2023-01-03,Success
20452,2247,11953,2023-02-21,Success
16510,107,8519,2022-11-03,Rejected by the driver
49053,1066,34152,2022-10-31,Success
29294,2569,21011,2022-07-22,Success
38615,155,29233,2022-06-20,Success
225,2226,5043,2022-12-16,Cancelled by the passenger
34335,88,11197,2022-10-26,Success
26085,1352,35793,2022-06-20,Success
36981,1931,22065,2022-10-06,Success
26979,2338,10998,2023-01-20,Cancelled by the passenger
13211,1923,26442,2023-02-09,Success
51081,2876,33663,2022-09-08,Success
2569,274,10548,2022-08-12,Success
49316,2460,18506,2022-07-28,Success
56387,1273,7355,2022-03-24,Success
23602,550,39289,2022-08-07,Rejected by the driver
10388,1755,17074,2022-12-03,Cancelled by the passenger
13716,1049,12313,2023-01-09,Cancelled by the passenger
48436,2640,5363,2023-01-26,Success
58709,825,33604,2022-04-13,Success
27552,192,11236,2023-02-05,Success
33163,581,33989,2022-06-22,Cancelled by the passenger
18354,1158,12556,2022-10-27,Cancelled by the passenger
49592,1613,6483,2022-12-07,Rejected by the driver
37326,2958,15911,2022-06-06,Rejected by the driver
37982,1469,13882,2022-08-26,Rejected by the driver
5560,271,3099,2023-02-19,Rejected by the driver
18676,627,28546,2022-09-04,Success
23888,1062,29956,2023-03-10,Success
7959,474,9540,2023-03-20,Success
26173,617,1849,2022-05-19,Success
48657,961,22347,2022-05-26,Success
33287,2078,10673,2022-07-09,Success
23468,1297,18498,2022-06-21,Success
31498,1895,6993,2022-07-19,Success
33251,18,7803,2023-03-13,Success
52422,2536,21994,2022-07-16,Success
10300,1143,33679,2022-03-14,Success
46546,438,10175,2022-07-04,Success
50919,1556,8105,2023-03-04,Rejected by the driver
26149,899,34894,2022-11-05,Success
18839,387,31268,2022-08-06,Success
25672,2340,16471,2022-11-13,Success
38659,1421,13817,2022-12-03,Success
40026,1953,27415,2022-10-20,Rejected by the driver
32076,2419,33022,2022-04-17,Success
4014,1489,39809,2023-03-01,Success
57680,27,39539,2022-09-12,Success
15430,299,1459,2022-07-12,Rejected by the driver
15267,90,27057,2022-04-10,Success
37613,1528,30127,2022-11-23,Success
15038,1497,12410,2022-05-19,Success
13882,2569,21864,2023-04-03,Cancelled by the passenger
2426,724,39927,2022-06-01,Rejected by the driver
21814,737,7617,2022-05-02,Success
14053,422,26283,2022-03-26,Success
47928,1791,11392,2022-09-23,Success
49718,1089,23079,2022-09-04,Rejected by the driver
38955,2405,31022,2023-02-16,Success
16665,1871,21534,2022-08-14,Success
32186,1988,36174,2022-10-02,Success
2386,1538,24923,2022-11-13,Success
51067,540,19980,2022-05-31,Success
35985,1512,30674,2022-09-24,Success
44503,1123,10230,2022-10-26,Cancelled by the passenger
27495,383,31902,2023-04-13,Success
38838,447,21415,2022-11-13,Success
46836,988,35403,2023-02-15,Success
31587,511,12748,2022-06-02,Success
21249,1355,34726,2022-11-23,Success
42403,2160,6504,2023-02-23,Rejected by the driver
24964,2504,26734,2022-10-17,Rejected by the driver
5345,1143,34259,2022-10-16,Success
4850,1733,37331,2022-12-17,Success
63,2908,21004,2023-01-03,Success
14058,85,6032,2023-02-07,Success
28339,608,38806,2022-07-29,Success
28635,845,8331,2023-03-16,Rejected by the driver
37467,501,30759,2022-08-30,Cancelled by the passenger
34126,2414,34558,2022-05-22,Success
45844,1325,12721,2022-06-24,Success
31698,47,5925,2023-03-03,Success
15779,738,25389,2022-09-11,Success
49677,1856,26185,2022-08-15,Success
33692,2326,27455,2023-01-28,Success
36373,2356,28215,2022-06-21,Success
30,672,24196,2023-02-15,Success
37277,1890,10628,2022-03-30,Cancelled by the passenger
10243,1166,21849,2022-04-11,Success
51597,1252,33623,2022-05-02,Rejected by the driver
44333,2960,27513,2022-08-31,Success
41031,2679,10112,2022-07-17,Rejected by the driver
11651,2860,38379,2023-01-09,Success
7931,1965,29638,2022-12-16,Success
8184,1913,6271,2022-10-27,Success
40450,136,4265,2022-11-15,Success
54412,1998,30291,2023-01-18,Success
11395,2049,33784,2022-10-08,Success
46115,623,34317,2022-05-09,Success
16945,666,16263,2022-10-09,Cancelled by the passenger
38638,397,6120,2022-11-26,Cancelled by the passenger
7418,2052,23996,2022-08-07,Success
7072,837,30500,2023-03-22,Success
33698,638,27659,2022-08-25,Success
38556,92,25526,2022-07-31,Success
23323,1038,28386,2022-05-20,Success
28395,473,10926,2022-05-08,Success
22161,2134,1216,2022-11-18,Cancelled by the passenger
28913,210,24809,2022-08-15,Success
42201,625,24668,2022-07-25,Success
14728,1112,14012,2022-06-20,Success
34029,2274,38150,2022-08-17,Success
28798,2507,31497,2022-04-28,Success
47938,2406,20468,2022-11-22,Rejected by the driver
13588,2405,22693,2022-08-20,Success
33458,334,9017,2022-03-14,Cancelled by the passenger
17097,2139,31102,2022-06-11,Success
49254,984,30068,2022-09-27,Rejected by the driver
17515,341,20111,2023-02-23,Success
51913,2862,30846,2022-04-21,Success
30178,2538,2203,2022-06-12,Success
21286,2672,13898,2022-07-22,Success
14752,724,10398,2022-05-10,Success
56020,1748,7039,2023-03-18,Success
13619,2880,7397,2022-03-17,Success
9664,1980,32666,2023-01-24,Success
43103,2370,38859,2022-04-21,Success
36860,213,15401,2023-03-11,Success
19864,912,33670,2022-06-30,Success
52042,2725,27890,2022-11-14,Success
26258,1786,7329,2023-04-14,Success
43450,977,4490,2022-06-29,Success
7923,647,18938,2023-03-25,Success
214,1392,22931,2022-10-05,Success
32674,101,15169,2022-09-15,Success
5268,429,27137,2023-04-14,Success
16050,1770,28380,2023-02-26,Cancelled by the passenger
14256,2923,21445,2022-12-18,Rejected by the driver
39365,147,3898,2022-03-12,Success
56880,773,22417,2023-01-30,Success
51531,2966,4753,2022-08-08,Success
23901,2502,6534,2023-04-13,Success
53131,812,13984,2022-08-06,Success
34637,1067,25404,2022-04-09,Success
32966,2093,38911,2022-10-07,Success
48709,492,28088,2022-10-19,Cancelled by the passenger
54870,1457,18961,2022-08-18,Success
3900,2571,20092,2022-07-21,Success
33082,2822,27802,2022-06-13,Success
242,1288,23976,2022-06-18,Rejected by the driver
17807,921,30945,2022-03-22,Success
35622,2109,37074,2022-09-02,Rejected by the driver
47344,518,28626,2022-12-26,Success
48775,325,33271,2023-01-01,Success
19124,89,37828,2022-05-18,Rejected by the driver
14605,507,23931,2022-09-10,Rejected by the driver
42492,1112,24070,2023-02-22,Success
21785,2281,31516,2022-12-31,Rejected by the driver
31854,760,9779,2023-04-15,Success
34045,2587,21727,2022-05-23,Success
27546,1608,1002,2022-09-04,Success
3533,636,30012,2022-09-25,Success
11487,1078,25180,2022-12-28,Success
55289,929,19330,2023-04-11,Success
57839,1618,24482,2022-06-18,Success
58688,2641,13153,2023-02-15,Cancelled by the passenger
46366,553,12414,2022-05-21,Rejected by the driver
48404,467,4224,2023-03-28,Success
41237,681,38293,2022-03-26,Success
54852,534,30407,2022-11-21,Success
6452,2371,22607,2022-04-08,Rejected by the driver
9839,1453,9918,2022-12-13,Success
18841,1149,30408,2022-04-23,Success
21188,2926,25730,2023-01-04,Success
13183,892,22337,2022-09-16,Success
22183,840,35131,2022-10-13,Success
57188,2296,23406,2023-01-25,Success
2013,2667,11980,2022-11-21,Success
47476,2101,27190,2023-03-17,Success
12759,2002,34259,2022-11-06,Success
776,2511,27412,2023-02-12,Success
13604,2351,731,2023-03-22,Rejected by the driver
56081,2363,322,2022-04-08,Success
54354,395,7950,2023-02-06,Success
36157,2573,33519,2022-05-25,Success
28636,2681,1197,2023-03-15,Success
27799,2324,37995,2023-03-16,Success
46441,2297,27070,2022-09-21,Success
45556,1889,16037,2023-03-01,Success
2977,2320,32266,2023-03-10,Rejected by the driver
37004,973,4863,2022-07-05,Success
4235,10,34648,2022-06-11,Success
40396,75,13459,2022-12-10,Success
30345,1695,35834,2022-12-14,Success
6791,840,21093,2022-07-02,Rejected by the driver
53799,2781,13094,2023-04-07,Success
41262,1143,15866,2022-10-27,Rejected by the driver
56875,2937,8590,2023-01-05,Success
50843,2849,27246,2022-05-01,Success
57825,1515,18857,2022-09-28,Cancelled by the passenger
2648,2473,14342,2022-05-30,Success
12340,2406,17980,2022-09-01,Success
57319,2288,29052,2022-08-23,Rejected by the driver
50912,1506,14763,2022-05-29,Success
8831,1271,38945,2023-01-17,Success
19680,673,22105,2022-11-27,Success
41551,1102,34130,2022-04-22,Success
16590,1300,37132,2023-03-03,Success
47295,157,10032,2022-04-01,Cancelled by the passenger
29361,1483,11181,2022-08-13,Success
17419,2136,28412,2023-01-21,Success
13174,1823,15416,2022-05-07,Success
19882,2130,6477,2022-04-05,Success
16204,1744,18538,2023-02-02,Success
48185,345,2173,2022-08-26,Cancelled by the passenger
13814,2941,30733,2023-02-06,Cancelled by the passenger
58355,1436,23762,2022-04-23,Rejected by the driver
32978,505,10706,2023-02-15,Success
44673,41,9475,2023-01-01,Success
13146,986,10834,2023-02-25,Success
22828,755,26596,2022-09-17,Rejected by the driver
34861,2559,15388,2023-03-03,Success
10263,111,22368,2022-09-18,Cancelled by the passenger
37803,917,7815,2023-04-12,Success
24033,910,32430,2022-12-18,Success
56795,2936,28578,2022-08-19,Success
15318,1441,46,2023-03-22,Cancelled by the passenger
21291,1905,32029,2022-11-24,Rejected by the driver
10394,1257,13946,2022-09-08,Success
22115,431,21017,2022-05-22,Success
20075,2796,7872,2022-12-29,Rejected by the driver
15261,2859,3216,2022-05-12,Cancelled by the passenger
45794,1363,15377,2023-01-06,Success
27904,512,32881,2023-04-14,Cancelled by the passenger
58438,2107,24861,2022-12-11,Rejected by the driver
27882,2532,31686,2022-11-06,Rejected by the driver
30203,2445,10580,2022-10-21,Rejected by the driver
36312,373,31233,2022-06-23,Success
25859,629,27202,2022-06-29,Success
